rank,x0_utm,y0_utm,zmean_ft,ponding_ft,basins,mean_pci,s_pond,s_basin_deficit,s_pci,priority
1429,327434.2,4694975.4,34.8,4.0,4,,1.0,0.2,0.5,66.0
1430,327234.2,4695075.4,33.4,4.0,4,,1.0,0.2,0.5,66.0
1431,325384.2,4696525.4,29.6,4.0,4,,1.0,0.2,0.5,66.0
1432,324434.2,4696775.4,20.2,4.0,4,,1.0,0.2,0.5,66.0
1433,324484.2,4696775.4,22.9,4.0,4,,1.0,0.2,0.5,66.0
1434,327734.2,4694475.4,61.0,2.074,0,,0.519,1.0,0.5,65.9
1435,326834.2,4695275.4,54.2,2.071,0,,0.518,1.0,0.5,65.9
1436,325484.2,4696025.4,25.9,3.996,4,,0.999,0.2,0.5,65.9
1437,325284.2,4696525.4,29.7,3.989,4,,0.997,0.2,0.5,65.9
1438,328084.2,4693925.4,10.6,3.864,3,,0.966,0.25,0.5,65.8
1439,328584.2,4694375.4,28.1,2.064,0,,0.516,1.0,0.5,65.8
1440,327084.2,4694575.4,39.0,2.632,0,85.4,0.658,1.0,0.146,65.8
1441,325784.2,4695325.4,44.8,2.563,0,81.0,0.641,1.0,0.19,65.8
1442,326784.2,4695425.4,40.9,3.668,2,,0.917,0.333,0.5,65.8
1443,326484.2,4695575.4,42.4,2.064,0,,0.516,1.0,0.5,65.8
1444,325334.2,4695675.4,24.2,2.062,0,,0.516,1.0,0.5,65.8
1445,326084.2,4695925.4,41.1,1.803,0,33.5,0.451,1.0,0.665,65.8
1446,324734.2,4696675.4,56.1,2.065,0,,0.516,1.0,0.5,65.8
1447,328984.2,4693425.4,11.9,2.059,0,,0.515,1.0,0.5,65.7
1448,325684.2,4695825.4,27.9,2.056,0,,0.514,1.0,0.5,65.7
1449,324784.2,4697575.4,34.0,2.058,0,,0.514,1.0,0.5,65.7
1450,326584.2,4694325.4,12.6,2.048,0,,0.512,1.0,0.5,65.6
1451,327584.2,4694475.4,83.0,2.046,0,,0.512,1.0,0.5,65.6
1452,328434.2,4695275.4,11.7,2.052,0,,0.513,1.0,0.5,65.6
1453,325584.2,4695925.4,24.9,3.644,2,,0.911,0.333,0.5,65.6
1454,325734.2,4696625.4,27.7,2.045,0,,0.511,1.0,0.5,65.6
1455,325734.2,4695925.4,31.1,3.963,4,,0.991,0.2,0.5,65.5
1456,325134.2,4696625.4,45.5,3.963,4,,0.991,0.2,0.5,65.5
1457,326484.2,4694525.4,23.5,4.0,2,73.0,1.0,0.333,0.27,65.4
1458,327784.2,4694075.4,38.9,2.021,0,,0.505,1.0,0.5,65.3
1459,328634.2,4694375.4,32.3,2.025,0,,0.506,1.0,0.5,65.3
1460,329034.2,4695025.4,13.1,2.02,0,,0.505,1.0,0.5,65.3
1461,326984.2,4695225.4,42.1,3.822,3,,0.955,0.25,0.5,65.3
1462,324884.2,4697125.4,55.1,3.623,2,,0.906,0.333,0.5,65.3
1463,325184.2,4695875.4,22.3,2.013,0,,0.503,1.0,0.5,65.2
1464,327984.2,4695975.4,14.1,3.213,1,,0.803,0.5,0.5,65.2
1465,324784.2,4698225.4,11.3,2.012,0,,0.503,1.0,0.5,65.2
1466,328034.2,4693425.4,10.1,3.604,2,,0.901,0.333,0.5,65.1
1467,328384.2,4693975.4,16.2,2.007,0,,0.502,1.0,0.5,65.1
1468,326484.2,4694325.4,14.5,2.009,0,,0.502,1.0,0.5,65.1
1469,327084.2,4695125.4,48.6,4.0,3,62.2,1.0,0.25,0.378,65.1
1470,326984.2,4695525.4,71.8,2.42,0,75.6,0.605,1.0,0.244,65.1
1471,324984.2,4695925.4,29.0,2.005,0,,0.501,1.0,0.5,65.1
1472,325184.2,4696925.4,62.2,2.007,0,,0.502,1.0,0.5,65.1
1473,326684.2,4693675.4,30.3,2.002,0,,0.5,1.0,0.5,65.0
1474,326284.2,4694275.4,20.8,1.998,0,,0.499,1.0,0.5,65.0
1475,326284.2,4694625.4,34.5,2.571,0,85.9,0.643,1.0,0.141,65.0
1476,327384.2,4694975.4,32.2,4.0,5,,1.0,0.167,0.5,65.0
1477,326134.2,4695175.4,90.3,2.032,0,51.8,0.508,1.0,0.482,65.0
1478,326234.2,4695575.4,45.9,3.997,1,99.9,0.999,0.5,0.001,65.0
1479,325034.2,4695825.4,25.3,4.0,5,,1.0,0.167,0.5,65.0
1480,325534.2,4695975.4,24.7,4.0,5,,1.0,0.167,0.5,65.0
1481,325434.2,4696125.4,31.7,3.202,1,,0.8,0.5,0.5,65.0
1482,328584.2,4694175.4,12.5,1.995,0,,0.499,1.0,0.5,64.9
1483,327084.2,4694325.4,18.1,1.991,0,,0.498,1.0,0.5,64.9
1484,327834.2,4694525.4,30.1,3.913,4,,0.978,0.2,0.5,64.9
1485,327634.2,4694825.4,33.5,3.994,5,,0.998,0.167,0.5,64.9
